"","title","type","score","scored_by","members","episodes","source","start_year"
"20577","Zhiduo Xingjimu","tv",NA,2,24,72,"original",NA
"20578","Rexue Xiaojiang","tv",NA,3,24,20,NA,NA
"20579","Feifan Meirenyu","tv",NA,2,24,52,"original",NA
"20580","Shentan Dadang","ona",NA,3,24,26,"original",NA
"20581","Dan Ding Dang Lixian Ji","tv",NA,2,24,26,"original",NA
"20582","Shenye Yu Tang","ona",NA,3,24,24,"original",2018
"20583","Xiao Laba: Tanxian Qiyu","tv",NA,2,24,26,"book",NA
"20584","Guoshanche Shou Luo Li","tv",NA,2,24,26,"original",NA
"20585","Shentan Si Dou Xing","tv",NA,2,24,52,"original",NA
"20586","Tang Dou Wawa","ona",NA,5,24,20,"original",NA
"20587","San Zhi Songshu: Zhongguo Xing","tv",NA,2,24,26,"original",NA
"20588","Taikong Xueyuan","tv",NA,2,24,52,"original",NA
"20589","Jing Xi Meng Bao","tv",NA,1,24,26,"original",NA
"20590","Kongsuni Chengzhang Ji","tv",NA,2,24,52,"original",NA
"20591","Caoben Jiazu","tv",NA,1,24,52,"original",2018
"20592","Nongchang Gushi","ona",NA,4,24,20,"original",NA
"20593","Dongwu Jiuyuan Dui","ona",NA,3,24,20,"original",NA
"20594","Xiaolong Wan Di: Huanle Xiaoyuan","tv",NA,3,24,26,"original",NA
"20595","Muma Yijia","ona",NA,2,24,13,"original",NA
"20596","Tabeta no Daare","ova",NA,5,24,4,"picture book",2000
"20597","Kare wa Genjitsu no Sekai ni…","movie",NA,3,24,1,"original",NA
"20598","Jiao Jiao Yu Jing Jing","tv",NA,3,23,10,"original",NA
"20599","Zhongdian Fuzi","tv",NA,2,23,26,"original",NA
"20600","Xiao Caomao","tv",NA,2,23,25,"original",NA
"20601","Caibao Xiao Huli","tv",NA,2,23,13,NA,NA
"20602","Xiongmao Jing Jing","tv",NA,3,23,26,"original",NA
"20603","Taiyang Zhizi","tv",NA,2,23,52,NA,NA
"20604","Gulu Xiansheng","tv",NA,3,23,26,"original",NA
"20605","Zhonghua Chuanshuo Meide Gushi","tv",NA,3,23,39,NA,NA
"20606","Xin Sanzijing","tv",NA,3,23,50,"book",NA
"20607","Yinyue Chuan","tv",NA,3,23,26,"original",NA
"20608","Konglong Xuexiao","tv",NA,3,23,52,"original",NA
"20609","San Shi Liu Ji Qiyu Ji","tv",NA,2,23,36,"original",NA
"20610","Maomi Xiao Bei","movie",NA,2,23,1,"original",NA
"20611","Chao Xian Lie Bing-kai Neng 2nd Season","tv",NA,1,23,26,"original",NA
"20612","Dongfang Shen Wa 2nd Season","tv",NA,2,23,52,"other",NA
"20613","Mianhua Tang He Yunduo Mama","tv",NA,2,23,240,"original",NA
"20614","Gushi Nainai","tv",NA,2,23,26,"original",NA
"20615","Dibi Gou","tv",NA,2,23,26,"original",NA
"20616","Tianshang Diao Xia Ge Zhubajie","tv",NA,2,23,104,NA,NA
"20617","Shaonian Shiye","tv",NA,2,23,26,"original",NA
"20618","Shaonian Shiye: Zhongyi Man Qiankun","tv",NA,2,23,26,"original",NA
"20619","Shaonian Shiye: Ji Yu Shengdian","tv",NA,2,23,26,"original",NA
"20620","Mo Dan Wang","tv",NA,1,23,52,"original",NA
"20621","Xiaobing De Gushi Second Season","ona",NA,1,23,5,"original",NA
"20622","Pao Fu Xiaojie 7th Season","ona",NA,2,23,12,"original",2016
"20623","Baozou Donghua 3rd Season","ona",NA,2,23,10,NA,NA
"20624","Baozou Bianji Bu De Gushi","ona",NA,3,23,87,NA,NA
"20625","Ludou Wa","ona",NA,4,23,309,"original",NA
"20626","Hou Wang Chuan","tv",NA,2,23,52,"original",NA
"20627","Shu Lao San Jin Cheng Ji","movie",NA,3,23,1,"original",NA
"20628","Youmiao","movie",NA,2,23,1,"original",NA
"20629","Da Tang Fengyun 2","movie",NA,1,23,1,NA,2018
"20630","Zhihui Zhi Cheng","tv",NA,3,23,40,"original",NA
"20631","Hao Hao Wenzi Guo","tv",NA,3,23,130,"book",NA
"20632","Shuiguo Baobei","tv",NA,1,23,52,"original",NA
